# Species Abundance nu_des T_bind mu p_stick  Ref
H2O       1.6e-4   4.0e13 5800    16  1.0      Fraser_2001
CO2       4.0e-5   1.0e13 2700    44  1.0      Sandford_1990
CO        8.0e-5   7.0e11 1180    28  1.0      Fayolle_2016
CH4       0.0e-0   -1     1250    16  1.0      Penteado_2017
C2H6      1.5e-5   6.0e16 2500    30  1.0      Behmard_2019
CH3OH     0.0e-0   -1     4930    32  1.0      Penteado_2017
N2        3.0e-5   8.0e11 1050    28  1.0      Fayolle_2016
NH3       7.0e-6   1.0e13 3800    17  1.0      Suhasaria_2015
He        9.5e-2   -1     100     2   1.0      Penteado_2017
Ar        2.5e-6   6.0e11 870     40  1.0      Smith_2016
Kr        1.8e-9   1.2e14 1380    83  1.0      Smith_2016
Xe        1.7e-10  4.6e14 1970    131 1.0      Smith_2016
H2S       1.4e-6   -1     2290    34  1.0      Penteado_2017
SO2       6.5e-6   -1     3010    64  1.0      Penteado_2017
FeS       6.5e-6   1.4e14 16040   87  1.0      Ferro_1989
